outcome,outs,on_third,num_pitches,is_hitters_count,is_pitchers_count,pickoffs_to_first,pitchouts,pitches_run_on,pitcher_throws_left,batter_bats_left,p_sb_rate_2017,p_pickoff_rate_2018,p_fastball_rate_2018,r_sb_rate_2017,r_sprint_speed_2018,c_sb_rate_2017,c_pop_2b_sba_2018
SUCCESS,2,False,3,False,False,0,0,1,False,False,0.7857142857142857,0.034782608695652174,0.6181299072091363,1.0,26.3,0.76,2.08
FAILURE,1,False,6,False,False,1,0,2,False,True,0.5,0.0,0.5713281799016163,0.0,26.4,0.8,2.03
SUCCESS,2,False,3,False,True,2,0,0,False,True,0.8333333333333334,0.044444444444444446,0.564288063137126,,29.4,0.76,2.08
SUCCESS,2,True,2,False,True,0,0,2,False,False,0.8333333333333334,0.044444444444444446,0.564288063137126,1.0,26.9,0.76,2.08
SUCCESS,0,False,0,False,False,0,0,1,False,False,1.0,0.0,0.6258064516129033,0.5555555555555556,29.0,0.77,1.88
FAILURE,2,False,0,False,False,0,0,1,False,False,0.7272727272727273,0.05263157894736842,0.6921810699588478,0.5555555555555556,29.0,0.77,1.88
SUCCESS,1,False,0,False,False,0,0,1,False,True,0.6363636363636364,0.009615384615384616,0.6129141311697093,0.64,27.9,0.6,1.98
SUCCESS,2,False,2,False,False,1,0,1,False,False,0.6842105263157895,0.0,0.607981220657277,0.7142857142857143,29.0,0.77,1.88
SUCCESS,2,False,0,False,False,2,0,1,False,True,0.7857142857142857,0.034782608695652174,0.6181299072091363,0.8205128205128205,30.1,0.77,1.88
SUCCESS,1,True,0,False,False,3,0,1,False,True,0.7857142857142857,0.034782608695652174,0.6181299072091363,0.8205128205128205,30.1,0.77,1.88
SUCCESS,2,False,1,False,False,1,0,1,True,True,0.8333333333333334,0.0,0.6875,0.5,29.5,0.92,2.04
SUCCESS,2,True,0,False,False,0,0,1,False,True,0.6666666666666666,0.14285714285714285,0.5736434108527132,0.7142857142857143,29.0,0.56,1.99
SUCCESS,0,False,3,False,True,2,0,1,False,True,0.95,0.022222222222222223,0.4931506849315068,0.64,27.9,0.76,1.92
SUCCESS,0,False,1,False,False,2,0,1,False,True,1.0,0.0,0.6258064516129033,,29.4,0.76,2.08
SUCCESS,2,True,2,False,False,0,0,1,False,False,1.0,0.0,0.6258064516129033,0.75,29.2,0.76,2.08
SUCCESS,2,True,1,False,False,0,0,1,False,True,0.6666666666666666,0.02586206896551724,0.5348258706467661,,26.6,1.0,1.94
SUCCESS,1,False,1,False,False,0,0,1,True,False,0.6666666666666666,0.0,0.6220472440944882,0.6666666666666666,25.7,0.76,2.08
FAILURE,0,False,5,False,False,1,0,1,False,True,0.6666666666666666,0.0,0.47893432465923175,,26.6,1.0,1.94
FAILURE,1,False,3,False,True,0,1,1,False,True,0.6666666666666666,0.0,0.47893432465923175,0.875,28.7,1.0,1.94
SUCCESS,1,False,2,False,False,2,0,1,False,True,0.7857142857142857,0.034782608695652174,0.6181299072091363,0.8636363636363636,27.5,0.56,1.99
SUCCESS,0,False,0,False,False,1,0,1,False,True,0.8421052631578947,0.01818181818181818,0.5196139476961394,0.64,27.9,,2.06
SUCCESS,2,False,0,False,False,1,0,1,False,False,0.8421052631578947,0.01818181818181818,0.5196139476961394,0.5,29.5,,2.06
SUCCESS,2,False,0,False,False,0,0,1,True,False,,,0.5518262586377097,1.0,27.8,0.56,1.99
SUCCESS,2,False,3,False,False,1,0,1,False,False,,0.0,0.6790123456790124,0.9166666666666666,28.5,0.77,2.14
FAILURE,1,False,5,False,False,0,0,1,False,True,0.8333333333333334,0.044444444444444446,0.564288063137126,0.5833333333333334,28.0,0.76,2.08
SUCCESS,2,False,4,True,False,0,0,1,False,True,0.8947368421052632,0.0,0.6945945945945946,0.6153846153846154,26.7,0.73,1.96
SUCCESS,2,False,3,False,True,2,0,1,False,False,0.8947368421052632,0.0,0.6945945945945946,0.64,27.9,0.73,1.96
SUCCESS,2,False,4,False,True,3,0,2,False,False,0.8947368421052632,0.0,0.6945945945945946,0.875,28.7,0.73,1.96
FAILURE,1,False,1,False,False,0,0,1,False,False,1.0,0.0,0.4966996699669967,1.0,26.5,0.77,2.14
FAILURE,2,False,1,False,False,3,0,1,False,True,0.6666666666666666,0.0,0.5756484149855908,0.64,27.9,1.0,2.0
SUCCESS,2,False,0,False,False,0,0,1,False,False,,0.0,0.7883928571428571,0.0,26.4,0.6799999999999999,1.9
FAILURE,2,False,0,False,False,1,0,0,True,True,0.0,0.2,0.5866900175131349,0.7142857142857143,25.5,0.77,2.14
SUCCESS,2,False,2,False,True,1,0,1,False,True,,0.0,0.46290491118077326,0.7777777777777778,29.5,0.77,2.14
SUCCESS,1,False,0,False,False,0,0,1,False,False,0.6842105263157895,0.0,0.607981220657277,1.0,28.5,0.77,2.14
SUCCESS,2,True,3,False,True,0,0,1,False,True,,0.0,0.8433268858800773,,26.5,0.77,2.14
FAILURE,2,False,1,False,False,2,0,0,False,True,0.7857142857142857,0.034782608695652174,0.6181299072091363,1.0,28.5,0.76,2.08
FAILURE,2,False,2,False,False,1,0,1,False,True,0.6363636363636364,0.009615384615384616,0.6129141311697093,0.64,27.9,0.6,1.98
SUCCESS,0,False,2,False,True,1,0,1,True,True,0.6666666666666666,0.0,0.6220472440944882,0.8205128205128205,30.1,0.77,2.14
SUCCESS,1,False,4,False,True,0,0,1,True,True,,,0.5518262586377097,1.0,27.6,0.77,2.14
